name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch	status	status_description	resection
A31	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	resected
A32	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	resected
A33	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	resected
A34	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	resected
A35	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
A36	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
A37	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
A38	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
A39	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
A40	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
A41	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
A42	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
A43	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
A44	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
A45	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
A46	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
A47	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
A48	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
A49	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
A50	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
A51	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
A52	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
A53	n/a	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	n/a	n/a
A54	n/a	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	n/a	n/a
A55	n/a	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	n/a	n/a
A56	n/a	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	n/a	n/a
A57	n/a	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	n/a	n/a
A58	n/a	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	n/a	n/a
A59	n/a	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	n/a	n/a
A60	n/a	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	n/a	n/a
A61	n/a	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	n/a	n/a
A62	n/a	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	n/a	n/a
A63	n/a	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	n/a	n/a
A64	n/a	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	n/a	n/a
B1	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
B2	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
B3	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
B4	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
B5	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
B6	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
B7	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
B8	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact	n/a
B9	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
B10	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
B11	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
B12	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
B13	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
B14	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
B15	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
B16	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact	n/a
B17	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
B18	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
B19	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
B20	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
B21	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	resected
B22	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	seizure onset zone	resected
B23	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	seizure onset zone	resected
B24	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	seizure onset zone	resected
B25	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
B26	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
B27	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
B28	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
B29	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	resected
B30	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	seizure onset zone	resected
B31	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	seizure onset zone	resected
B32	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact	n/a
B33	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
B34	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
B35	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
B36	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
B37	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
B38	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	resected
B39	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	seizure onset zone	resected
B40	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	seizure onset zone	resected
B41	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
B42	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
B43	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
B44	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
B45	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
B46	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	resected
B47	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	resected
B48	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	resected
B49	n/a	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	n/a	n/a
B50	n/a	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	n/a	n/a
B51	n/a	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	n/a	n/a
B52	n/a	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	n/a	n/a
B53	n/a	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	n/a	n/a
B54	n/a	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	n/a	n/a
B55	n/a	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	n/a	n/a
B56	n/a	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	n/a	n/a
B57	n/a	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	n/a	n/a
B58	n/a	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	n/a	n/a
B59	n/a	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	n/a	n/a
B60	n/a	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	n/a	n/a
B61	n/a	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	n/a	n/a
B62	n/a	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	n/a	n/a
B63	n/a	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	n/a	n/a
B64	n/a	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	n/a	n/a
